CLUSTER ID,Cluster Name,LATITUDE,LONGITUDE,TYPE,Name FME/Infra,STATUS (Existing/Proposed),Condition
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Hand Tractor with Trailer,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Compact Tiller Rotavator,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Compact Tiller Rotavator,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Compact Tiller Rotavator,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Compact Tiller Rotavator,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Grass/Brush Cutter,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Grass/Brush Cutter,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Grass/Brush Cutter,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Grass/Brush Cutter,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Grass/Brush Cutter,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Grass/Brush Cutter,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Grass/Brush Cutter,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Grass/Brush Cutter,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Combine Harvester,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Floating Tiller,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Floating Tiller,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Floating Tiller,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Floating Tiller,Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Motorcycle with Sidecar (kulong-kulong),Proposed,
C-R2-0003,WEST APARRI ARC,18.11387,121.5577279,FME,Hauling Truck,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,4WD Tractor with complete implements,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,4WD Tractor with complete implements,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Mechanical Rice Transplanter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Mechanical Rice Transplanter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Mechanical Rice Transplanter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Mechanical Rice Transplanter,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Waterpump,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
C-R2-0010,SUNRISE ARC,18.02225,121.8214233,FME,Knapsack Sprayer,Proposed,
